湖州亚运小镇,湖州,已开工,　　亚运小镇是2015年浙江省重点项目，也是2022年杭州亚运会的预备场馆。该项目拟建设成为亲子文化体育综合体，搭载专业体育培训、亲子教育培训、承办赛事等功能，辅以娱乐购物、酒店住宿等配套设施。,浙江
三门舌尖小镇,台州,已开工,　　该项目打造以“三门青蟹”、“三门跳跳鱼”等特色海鲜为主，覆盖海鲜养殖、产品深加工、特色餐饮、海鲜文化、海岛旅游等，上下游联动的三门特色海产产业链，同时配套特色民宿和酒店，促进三门海产的“产业-品牌-文化”升级，塑造集美食、旅游、娱乐、休闲为一体的舌尖小镇。,浙江
天台和合小镇,台州,已开工,　　该项目依托当地特色自然资源与和合文化，以智慧与创新为核心，发挥金诚影视文化、健康及金融等多方面优势，建设创意产业园、大数据中心、未来科学中心等板块，最终打造集文化旅游、禅修养生、创意创新于一体的国家5A精品“产业+度假”特色小镇。,浙江
象山绿色体育竞技小镇,宁波,已开工,　　该项目以绿色竞技为核心产业，如马术、格斗竞技、帆船、网球、击剑等，打造一个以体育为核心，包括体育传媒、体育赛事、体育社交、体育表演、体育教育、体育医疗并集合酒店、餐饮、商业、居住等配套功能的体育文化旅游小镇。,浙江
杭州金诚之星,杭州,已开工,　　“杭州金诚之星”位于杭州运河商务区核心地段，已于2017年1月18日正式开工奠基，建成后将是一个集高端办公、五星级酒店、商业文化、公馆、国际秀场等多业态为一体的大型综合体。,浙江
苏州金诚之星,苏州,运营中,　　苏州金诚之星涵盖办公、商业、餐饮、影院、教育、医疗、影视等多种业态，是金诚集团各产业的集中展示平台。苏州金诚之星已于2017年6月迎来了首批入驻者。,江苏
淮安洪泽智慧产业园,淮安,已开工,　　该项目将以物联网和智能家电两大创新产业为主导，在洪泽区打造一个具有兼具创新优势和规模效应的现代工业集群。,江苏
盱眙龙虾小镇,盱眙,已开工,　　盱眙龙虾小镇将整合周边资源，构建以龙虾为核心产业，从生产、运输、加工、体验到品牌推广，打造龙虾全产业链。,江苏
启东魁北克小镇,启东,已开工,　　在中加两国广泛合作的基础上，以魁北克的艺术背景为桥梁，启东魁北克小镇将成为一座集合文化艺术表演、海滩旅游度假、医疗健康、金融产业孵化、教育传承等产业的国家级特色小镇。,江苏
无锡人鱼小镇,无锡,已开工,　　无锡人鱼小镇以科技和互动为核心，结合VR线上游戏体验，综合商业文化区，数字娱乐产业园三大区块，打造一个融合参与性，娱乐性，互动性和科技性的全球首座超大型VR游戏主题小镇。,江苏
诗歌中华小镇,汨罗,已开工,　　该项目融合当地端午文化、龙舟文化，围绕“三江两岸、三点一线”进行布局，打造世界著名的，集诗歌文化传播、体验、交流、互动于一体的中华诗歌文化小镇。,湖南
岳阳君山萌宠小镇,岳阳,已开工,　　萌宠小镇是以文化旅游、亲子教育、影视文化、产业发展为核心功能，依托影视文化IP、君山区自然风光等核心资源打造的一个以宠物全产业链综合开发项目。,湖南
张家界天门仙境小镇,张家界,已开工,　　该项目要把天门山区域建设成为张家界国家旅游综合改革先导区、旅游转型示范区、旅游产业集聚区、养生度假新天堂和城乡统筹的样板区。项目大体分为：天门仙境小镇核心区、红河谷度假区、长寿社区、亲水活动区、中央田园区和外交庄园区。,湖南
安顺大西桥生态小镇,安顺,已开工,　　根据当地生态旅游优势和屯堡文化，金诚与安顺西秀区政府合作，从农业水利、交通及市政、公共服务工程、文化旅游、生态环境等五大方面入手，对其进行全面升级。未来，大西桥小镇将与国家5A 级景区黄果树瀑布和龙宫共同迎来全域旅游新时代。,贵州
济源市王屋山福源小镇,济源,已开工,　　福源小镇拟规划布局中华愚公区、祈福朝圣区、道教文化体验区、休闲购物区、度假养生区五大功能区块。项目建成后，将助力王屋山景区形成“悟道王屋仙山，养生第一洞天”的体验效果，并助推王屋山 5A 级景区创建工作，提升济源市在国内外的美誉度和知名度。,河南
